0,Chocolate Cake
1,Lemon Cake
2,Casino Cake
3,Opera Cake
4,Strawberry Cake
5,Truffle Cake
6,Chocolate Eclair
7,Coffee Eclair
8,Vanilla Eclair
9,Napoleon Cake
10,Almond Tart
11,Apple Pie
12,Apple Tart
13,Apricot Tart
14,Berry Tart
15,Blackberry Tart
16,Blueberry Tart
17,Chocolate Tart
18,Cherry Tart
19,Lemon Tart
20,Pecan Tart
21,Ganache Cookie
22,Gongolais Cookie
23,Raspberry Cookie
24,Lemon Cookie
25,Chocolate Meringue
26,Vanilla Meringue
27,Marzipan Cookie
28,Tuile Cookie
29,Walnut Cookie
30,Almond Croissant
31,Apple Croissant
32,Apricot Croissant
33,Cheese Croissant
34,Chocolate Croissant
35,Apricot Danish
36,Apple Danish
37,Almond Twist
38,Almond Bear Claw
39,Blueberry Danish
40,Lemon Lemonade
41,Raspberry Lemonade
42,Orange Juice
43,Green Tea
44,Bottled Water
45,Hot Coffee
46,Chocolate Coffee
47,Vanilla Frappuccino
48,Cherry Soda
49,Single Espresso
